model,row,seed,site,layer,round_trip,anchor_residual
llama32_3b,Had_sym,2,down,26,1.4797343794725748e-07,0.0
llama32_3b,Had_sym,2,down,27,1.47050997156839e-07,0.0
llama32_3b,M1_had_asym,2,qkv,0,1.4818895976986823e-07,0.0
llama32_3b,M1_had_asym,2,qkv,1,1.4655127245077892e-07,0.0
llama32_3b,M1_had_asym,2,qkv,2,1.474640782817005e-07,0.0
llama32_3b,M1_had_asym,2,qkv,3,1.4602889564230281e-07,0.0
llama32_3b,M1_had_asym,2,qkv,4,1.4673685200250475e-07,0.0
llama32_3b,M1_had_asym,2,qkv,5,1.4629294753376598e-07,0.0
llama32_3b,M1_had_asym,2,qkv,6,1.4823187655110814e-07,0.0
llama32_3b,M1_had_asym,2,qkv,7,1.4616337296047277e-07,0.0
llama32_3b,M1_had_asym,2,qkv,8,1.4694575156681822e-07,0.0
llama32_3b,M1_had_asym,2,qkv,9,1.454595945915571e-07,0.0
llama32_3b,M1_had_asym,2,qkv,10,1.4810552784183528e-07,0.0
llama32_3b,M1_had_asym,2,qkv,11,1.4713506857333414e-07,0.0
llama32_3b,M1_had_asym,2,qkv,12,1.4543157078605873e-07,0.0
llama32_3b,M1_had_asym,2,qkv,13,1.476500273156489e-07,0.0
llama32_3b,M1_had_asym,2,qkv,14,1.4654692392923607e-07,0.0
llama32_3b,M1_had_asym,2,qkv,15,1.4568472295195534e-07,0.0
llama32_3b,M1_had_asym,2,qkv,16,1.459471832276904e-07,0.0
llama32_3b,M1_had_asym,2,qkv,17,1.475247444204797e-07,0.0
llama32_3b,M1_had_asym,2,qkv,18,1.464359939973292e-07,0.0
llama32_3b,M1_had_asym,2,qkv,19,1.466964363316947e-07,0.0
llama32_3b,M1_had_asym,2,qkv,20,1.461985590367476e-07,0.0
llama32_3b,M1_had_asym,2,qkv,21,1.464090786384986e-07,0.0
llama32_3b,M1_had_asym,2,qkv,22,1.4492799493837083e-07,0.0
llama32_3b,M1_had_asym,2,qkv,23,1.4726559527389327e-07,0.0
llama32_3b,M1_had_asym,2,qkv,24,1.466507200120759e-07,0.0
llama32_3b,M1_had_asym,2,qkv,25,1.4777477019833896e-07,0.0
llama32_3b,M1_had_asym,2,qkv,26,1.473546120678293e-07,0.0
llama32_3b,M1_had_asym,2,qkv,27,1.4802128589508357e-07,0.0
llama32_3b,M1_had_asym,2,down,0,1.4725921460012614e-07,0.0
llama32_3b,M1_had_asym,2,down,1,1.4822833804828406e-07,0.0
llama32_3b,M1_had_asym,2,down,2,1.4770262168894988e-07,0.0
llama32_3b,M1_had_asym,2,down,3,1.4755880783923203e-07,0.0
llama32_3b,M1_had_asym,2,down,4,1.474972606274605e-07,0.0
llama32_3b,M1_had_asym,2,down,5,1.483242897393211e-07,0.0
llama32_3b,M1_had_asym,2,down,6,1.4802219538978534e-07,0.0
llama32_3b,M1_had_asym,2,down,7,1.4741881670943258e-07,0.0
llama32_3b,M1_had_asym,2,down,8,1.4770898815186229e-07,0.0
llama32_3b,M1_had_asym,2,down,9,1.4849945273454068e-07,0.0
llama32_3b,M1_had_asym,2,down,10,1.4724463426318835e-07,0.0
llama32_3b,M1_had_asym,2,down,11,1.480661921959836e-07,0.0
llama32_3b,M1_had_asym,2,down,12,1.473385395911464e-07,0.0
llama32_3b,M1_had_asym,2,down,13,1.4777617707295576e-07,0.0
llama32_3b,M1_had_asym,2,down,14,1.4745232590485102e-07,0.0
llama32_3b,M1_had_asym,2,down,15,1.475153936780771e-07,0.0
llama32_3b,M1_had_asym,2,down,16,1.474256521305506e-07,0.0
llama32_3b,M1_had_asym,2,down,17,1.4745785392733524e-07,0.0
llama32_3b,M1_had_asym,2,down,18,1.473406854302084e-07,0.0
llama32_3b,M1_had_asym,2,down,19,1.4661017644357344e-07,0.0
llama32_3b,M1_had_asym,2,down,20,1.4662816738564288e-07,0.0
llama32_3b,M1_had_asym,2,down,21,1.482723064327729e-07,0.0
llama32_3b,M1_had_asym,2,down,22,1.476529121191561e-07,0.0
llama32_3b,M1_had_asym,2,down,23,1.4782625612497213e-07,0.0
llama32_3b,M1_had_asym,2,down,24,1.4731848807514325e-07,0.0
llama32_3b,M1_had_asym,2,down,25,1.48087778484296e-07,0.0
llama32_3b,M1_had_asym,2,down,26,1.4797343794725748e-07,0.0
llama32_3b,M1_had_asym,2,down,27,1.47050997156839e-07,0.0
llama32_3b,M1_had_sym,2,qkv,0,1.4818895976986823e-07,0.0
llama32_3b,M1_had_sym,2,qkv,1,1.4655127245077892e-07,0.0
llama32_3b,M1_had_sym,2,qkv,2,1.474640782817005e-07,0.0
llama32_3b,M1_had_sym,2,qkv,3,1.4602889564230281e-07,0.0
llama32_3b,M1_had_sym,2,qkv,4,1.4673685200250475e-07,0.0
llama32_3b,M1_had_sym,2,qkv,5,1.4629294753376598e-07,0.0
llama32_3b,M1_had_sym,2,qkv,6,1.4823187655110814e-07,0.0
llama32_3b,M1_had_sym,2,qkv,7,1.4616337296047277e-07,0.0
llama32_3b,M1_had_sym,2,qkv,8,1.4694575156681822e-07,0.0
llama32_3b,M1_had_sym,2,qkv,9,1.454595945915571e-07,0.0
llama32_3b,M1_had_sym,2,qkv,10,1.4810552784183528e-07,0.0
llama32_3b,M1_had_sym,2,qkv,11,1.4713506857333414e-07,0.0
llama32_3b,M1_had_sym,2,qkv,12,1.4543157078605873e-07,0.0
llama32_3b,M1_had_sym,2,qkv,13,1.476500273156489e-07,0.0
llama32_3b,M1_had_sym,2,qkv,14,1.4654692392923607e-07,0.0
llama32_3b,M1_had_sym,2,qkv,15,1.4568472295195534e-07,0.0
llama32_3b,M1_had_sym,2,qkv,16,1.459471832276904e-07,0.0
llama32_3b,M1_had_sym,2,qkv,17,1.475247444204797e-07,0.0
llama32_3b,M1_had_sym,2,qkv,18,1.464359939973292e-07,0.0
llama32_3b,M1_had_sym,2,qkv,19,1.466964363316947e-07,0.0
llama32_3b,M1_had_sym,2,qkv,20,1.461985590367476e-07,0.0
llama32_3b,M1_had_sym,2,qkv,21,1.464090786384986e-07,0.0
llama32_3b,M1_had_sym,2,qkv,22,1.4492799493837083e-07,0.0
llama32_3b,M1_had_sym,2,qkv,23,1.4726559527389327e-07,0.0
llama32_3b,M1_had_sym,2,qkv,24,1.466507200120759e-07,0.0
llama32_3b,M1_had_sym,2,qkv,25,1.4777477019833896e-07,0.0
llama32_3b,M1_had_sym,2,qkv,26,1.473546120678293e-07,0.0
llama32_3b,M1_had_sym,2,qkv,27,1.4802128589508357e-07,0.0
llama32_3b,M1_had_sym,2,down,0,1.4725921460012614e-07,0.0
llama32_3b,M1_had_sym,2,down,1,1.4822833804828406e-07,0.0
llama32_3b,M1_had_sym,2,down,2,1.4770262168894988e-07,0.0
llama32_3b,M1_had_sym,2,down,3,1.4755880783923203e-07,0.0
llama32_3b,M1_had_sym,2,down,4,1.474972606274605e-07,0.0
llama32_3b,M1_had_sym,2,down,5,1.483242897393211e-07,0.0
llama32_3b,M1_had_sym,2,down,6,1.4802219538978534e-07,0.0
llama32_3b,M1_had_sym,2,down,7,1.4741881670943258e-07,0.0
llama32_3b,M1_had_sym,2,down,8,1.4770898815186229e-07,0.0
llama32_3b,M1_had_sym,2,down,9,1.4849945273454068e-07,0.0
llama32_3b,M1_had_sym,2,down,10,1.4724463426318835e-07,0.0
llama32_3b,M1_had_sym,2,down,11,1.480661921959836e-07,0.0
llama32_3b,M1_had_sym,2,down,12,1.473385395911464e-07,0.0
llama32_3b,M1_had_sym,2,down,13,1.4777617707295576e-07,0.0
llama32_3b,M1_had_sym,2,down,14,1.4745232590485102e-07,0.0
llama32_3b,M1_had_sym,2,down,15,1.475153936780771e-07,0.0
llama32_3b,M1_had_sym,2,down,16,1.474256521305506e-07,0.0
llama32_3b,M1_had_sym,2,down,17,1.4745785392733524e-07,0.0
llama32_3b,M1_had_sym,2,down,18,1.473406854302084e-07,0.0
llama32_3b,M1_had_sym,2,down,19,1.4661017644357344e-07,0.0
llama32_3b,M1_had_sym,2,down,20,1.4662816738564288e-07,0.0
llama32_3b,M1_had_sym,2,down,21,1.482723064327729e-07,0.0
llama32_3b,M1_had_sym,2,down,22,1.476529121191561e-07,0.0
llama32_3b,M1_had_sym,2,down,23,1.4782625612497213e-07,0.0
llama32_3b,M1_had_sym,2,down,24,1.4731848807514325e-07,0.0
llama32_3b,M1_had_sym,2,down,25,1.48087778484296e-07,0.0
llama32_3b,M1_had_sym,2,down,26,1.4797343794725748e-07,0.0
llama32_3b,M1_had_sym,2,down,27,1.47050997156839e-07,0.0
llama32_3b,M2_had_asym,2,qkv,0,1.4818895976986823e-07,0.0
llama32_3b,M2_had_asym,2,qkv,1,1.4655127245077892e-07,0.0
llama32_3b,M2_had_asym,2,qkv,2,1.474640782817005e-07,0.0
llama32_3b,M2_had_asym,2,qkv,3,1.4602889564230281e-07,0.0
llama32_3b,M2_had_asym,2,qkv,4,1.4673685200250475e-07,0.0
llama32_3b,M2_had_asym,2,qkv,5,1.4629294753376598e-07,0.0
llama32_3b,M2_had_asym,2,qkv,6,1.4823187655110814e-07,0.0
llama32_3b,M2_had_asym,2,qkv,7,1.4616337296047277e-07,0.0
llama32_3b,M2_had_asym,2,qkv,8,1.4694575156681822e-07,0.0
llama32_3b,M2_had_asym,2,qkv,9,1.454595945915571e-07,0.0
llama32_3b,M2_had_asym,2,qkv,10,1.4810552784183528e-07,0.0
llama32_3b,M2_had_asym,2,qkv,11,1.4713506857333414e-07,0.0
llama32_3b,M2_had_asym,2,qkv,12,1.4543157078605873e-07,0.0
llama32_3b,M2_had_asym,2,qkv,13,1.476500273156489e-07,0.0
llama32_3b,M2_had_asym,2,qkv,14,1.4654692392923607e-07,0.0
llama32_3b,M2_had_asym,2,qkv,15,1.4568472295195534e-07,0.0
llama32_3b,M2_had_asym,2,qkv,16,1.459471832276904e-07,0.0
llama32_3b,M2_had_asym,2,qkv,17,1.475247444204797e-07,0.0
llama32_3b,M2_had_asym,2,qkv,18,1.464359939973292e-07,0.0
llama32_3b,M2_had_asym,2,qkv,19,1.466964363316947e-07,0.0
llama32_3b,M2_had_asym,2,qkv,20,1.461985590367476e-07,0.0
llama32_3b,M2_had_asym,2,qkv,21,1.464090786384986e-07,0.0
llama32_3b,M2_had_asym,2,qkv,22,1.4492799493837083e-07,0.0
llama32_3b,M2_had_asym,2,qkv,23,1.4726559527389327e-07,0.0
llama32_3b,M2_had_asym,2,qkv,24,1.466507200120759e-07,0.0
llama32_3b,M2_had_asym,2,qkv,25,1.4777477019833896e-07,0.0
llama32_3b,M2_had_asym,2,qkv,26,1.473546120678293e-07,0.0
llama32_3b,M2_had_asym,2,qkv,27,1.4802128589508357e-07,0.0
llama32_3b,M2_had_asym,2,down,0,1.4725921460012614e-07,0.0
llama32_3b,M2_had_asym,2,down,1,1.4822833804828406e-07,0.0
llama32_3b,M2_had_asym,2,down,2,1.4770262168894988e-07,0.0
llama32_3b,M2_had_asym,2,down,3,1.4755880783923203e-07,0.0
llama32_3b,M2_had_asym,2,down,4,1.474972606274605e-07,0.0
llama32_3b,M2_had_asym,2,down,5,1.483242897393211e-07,0.0
llama32_3b,M2_had_asym,2,down,6,1.4802219538978534e-07,0.0
llama32_3b,M2_had_asym,2,down,7,1.4741881670943258e-07,0.0
llama32_3b,M2_had_asym,2,down,8,1.4770898815186229e-07,0.0
llama32_3b,M2_had_asym,2,down,9,1.4849945273454068e-07,0.0
llama32_3b,M2_had_asym,2,down,10,1.4724463426318835e-07,0.0
llama32_3b,M2_had_asym,2,down,11,1.480661921959836e-07,0.0
llama32_3b,M2_had_asym,2,down,12,1.473385395911464e-07,0.0
llama32_3b,M2_had_asym,2,down,13,1.4777617707295576e-07,0.0
llama32_3b,M2_had_asym,2,down,14,1.4745232590485102e-07,0.0
llama32_3b,M2_had_asym,2,down,15,1.475153936780771e-07,0.0
llama32_3b,M2_had_asym,2,down,16,1.474256521305506e-07,0.0
llama32_3b,M2_had_asym,2,down,17,1.4745785392733524e-07,0.0
llama32_3b,M2_had_asym,2,down,18,1.473406854302084e-07,0.0
llama32_3b,M2_had_asym,2,down,19,1.4661017644357344e-07,0.0
llama32_3b,M2_had_asym,2,down,20,1.4662816738564288e-07,0.0
llama32_3b,M2_had_asym,2,down,21,1.482723064327729e-07,0.0
llama32_3b,M2_had_asym,2,down,22,1.476529121191561e-07,0.0
llama32_3b,M2_had_asym,2,down,23,1.4782625612497213e-07,0.0
llama32_3b,M2_had_asym,2,down,24,1.4731848807514325e-07,0.0
llama32_3b,M2_had_asym,2,down,25,1.48087778484296e-07,0.0
llama32_3b,M2_had_asym,2,down,26,1.4797343794725748e-07,0.0
llama32_3b,M2_had_asym,2,down,27,1.47050997156839e-07,0.0
llama32_3b,M2_had_sym,2,qkv,0,1.4818895976986823e-07,0.0
llama32_3b,M2_had_sym,2,qkv,1,1.4655127245077892e-07,0.0
llama32_3b,M2_had_sym,2,qkv,2,1.474640782817005e-07,0.0
llama32_3b,M2_had_sym,2,qkv,3,1.4602889564230281e-07,0.0
llama32_3b,M2_had_sym,2,qkv,4,1.4673685200250475e-07,0.0
llama32_3b,M2_had_sym,2,qkv,5,1.4629294753376598e-07,0.0
llama32_3b,M2_had_sym,2,qkv,6,1.4823187655110814e-07,0.0
llama32_3b,M2_had_sym,2,qkv,7,1.4616337296047277e-07,0.0
llama32_3b,M2_had_sym,2,qkv,8,1.4694575156681822e-07,0.0
llama32_3b,M2_had_sym,2,qkv,9,1.454595945915571e-07,0.0
llama32_3b,M2_had_sym,2,qkv,10,1.4810552784183528e-07,0.0
llama32_3b,M2_had_sym,2,qkv,11,1.4713506857333414e-07,0.0
llama32_3b,M2_had_sym,2,qkv,12,1.4543157078605873e-07,0.0
llama32_3b,M2_had_sym,2,qkv,13,1.476500273156489e-07,0.0
llama32_3b,M2_had_sym,2,qkv,14,1.4654692392923607e-07,0.0
llama32_3b,M2_had_sym,2,qkv,15,1.4568472295195534e-07,0.0
llama32_3b,M2_had_sym,2,qkv,16,1.459471832276904e-07,0.0
llama32_3b,M2_had_sym,2,qkv,17,1.475247444204797e-07,0.0
llama32_3b,M2_had_sym,2,qkv,18,1.464359939973292e-07,0.0
llama32_3b,M2_had_sym,2,qkv,19,1.466964363316947e-07,0.0
llama32_3b,M2_had_sym,2,qkv,20,1.461985590367476e-07,0.0
llama32_3b,M2_had_sym,2,qkv,21,1.464090786384986e-07,0.0
llama32_3b,M2_had_sym,2,qkv,22,1.4492799493837083e-07,0.0
llama32_3b,M2_had_sym,2,qkv,23,1.4726559527389327e-07,0.0
llama32_3b,M2_had_sym,2,qkv,24,1.466507200120759e-07,0.0
llama32_3b,M2_had_sym,2,qkv,25,1.4777477019833896e-07,0.0
llama32_3b,M2_had_sym,2,qkv,26,1.473546120678293e-07,0.0
llama32_3b,M2_had_sym,2,qkv,27,1.4802128589508357e-07,0.0
llama32_3b,M2_had_sym,2,down,0,1.4725921460012614e-07,0.0
llama32_3b,M2_had_sym,2,down,1,1.4822833804828406e-07,0.0
llama32_3b,M2_had_sym,2,down,2,1.4770262168894988e-07,0.0
llama32_3b,M2_had_sym,2,down,3,1.4755880783923203e-07,0.0
llama32_3b,M2_had_sym,2,down,4,1.474972606274605e-07,0.0
llama32_3b,M2_had_sym,2,down,5,1.483242897393211e-07,0.0
llama32_3b,M2_had_sym,2,down,6,1.4802219538978534e-07,0.0
llama32_3b,M2_had_sym,2,down,7,1.4741881670943258e-07,0.0
llama32_3b,M2_had_sym,2,down,8,1.4770898815186229e-07,0.0
llama32_3b,M2_had_sym,2,down,9,1.4849945273454068e-07,0.0
llama32_3b,M2_had_sym,2,down,10,1.4724463426318835e-07,0.0
llama32_3b,M2_had_sym,2,down,11,1.480661921959836e-07,0.0
llama32_3b,M2_had_sym,2,down,12,1.473385395911464e-07,0.0
llama32_3b,M2_had_sym,2,down,13,1.4777617707295576e-07,0.0
llama32_3b,M2_had_sym,2,down,14,1.4745232590485102e-07,0.0
llama32_3b,M2_had_sym,2,down,15,1.475153936780771e-07,0.0
llama32_3b,M2_had_sym,2,down,16,1.474256521305506e-07,0.0
llama32_3b,M2_had_sym,2,down,17,1.4745785392733524e-07,0.0
llama32_3b,M2_had_sym,2,down,18,1.473406854302084e-07,0.0
llama32_3b,M2_had_sym,2,down,19,1.4661017644357344e-07,0.0
llama32_3b,M2_had_sym,2,down,20,1.4662816738564288e-07,0.0
llama32_3b,M2_had_sym,2,down,21,1.482723064327729e-07,0.0
llama32_3b,M2_had_sym,2,down,22,1.476529121191561e-07,0.0
llama32_3b,M2_had_sym,2,down,23,1.4782625612497213e-07,0.0
llama32_3b,M2_had_sym,2,down,24,1.4731848807514325e-07,0.0
llama32_3b,M2_had_sym,2,down,25,1.48087778484296e-07,0.0
llama32_3b,M2_had_sym,2,down,26,1.4797343794725748e-07,0.0
llama32_3b,M2_had_sym,2,down,27,1.47050997156839e-07,0.0
llama32_3b,Q1_asym,0,qkv,0,1.1703088631520586e-07,9.563375158450071e-08
llama32_3b,Q1_asym,0,qkv,1,1.1584295123157062e-07,9.057485783614538e-08
llama32_3b,Q1_asym,0,qkv,2,1.1480938155727927e-07,9.291285607559985e-08
llama32_3b,Q1_asym,0,qkv,3,1.1720141657178829e-07,9.226773300952118e-08
llama32_3b,Q1_asym,0,qkv,4,1.171271080124825e-07,9.342109308363433e-08
llama32_3b,Q1_asym,0,qkv,5,1.1676407751792794e-07,9.231953157495809e-08
llama32_3b,Q1_asym,0,qkv,6,1.1633923691078962e-07,9.105888665317252e-08
llama32_3b,Q1_asym,0,qkv,7,1.1672744193447215e-07,9.40486870604218e-08
llama32_3b,Q1_asym,0,qkv,8,1.1701445856715509e-07,9.336057615882964e-08
llama32_3b,Q1_asym,0,qkv,9,1.1634034535745741e-07,9.627749619767201e-08
llama32_3b,Q1_asym,0,qkv,10,1.1587964365844527e-07,9.327310834805758e-08
llama32_3b,Q1_asym,0,qkv,11,1.1566679347652098e-07,9.437964365588414e-08
llama32_3b,Q1_asym,0,qkv,12,1.1466745064581119e-07,9.308512716188488e-08
llama32_3b,Q1_asym,0,qkv,13,1.1589381188059633e-07,9.680831425384895e-08
llama32_3b,Q1_asym,0,qkv,14,1.1482272554985684e-07,9.469362538538917e-08
llama32_3b,Q1_asym,0,qkv,15,1.161319218567769e-07,9.509744103297635e-08
llama32_3b,Q1_asym,0,qkv,16,1.1591653503728594e-07,9.651397192556033e-08
llama32_3b,Q1_asym,0,qkv,17,1.160877118877579e-07,9.381606957958866e-08
llama32_3b,Q1_asym,0,qkv,18,1.1642922004284628e-07,9.485108165563361e-08
llama32_3b,Q1_asym,0,qkv,19,1.1624806006693689e-07,9.797645361686591e-08
llama32_3b,Q1_asym,0,qkv,20,1.1639882302461046e-07,9.349903251631986e-08
llama32_3b,Q1_asym,0,qkv,21,1.162573752822027e-07,9.182004845342817e-08
llama32_3b,Q1_asym,0,qkv,22,1.1626886475823994e-07,9.394653233130157e-08
llama32_3b,Q1_asym,0,qkv,23,1.1543632183474983e-07,9.434466363700267e-08
llama32_3b,Q1_asym,0,qkv,24,1.1537927235849565e-07,9.266207001701332e-08
llama32_3b,Q1_asym,0,qkv,25,1.1647539821524333e-07,9.032905978756389e-08
llama32_3b,Q1_asym,0,qkv,26,1.172169987739835e-07,9.28597572169565e-08
llama32_3b,Q1_asym,0,qkv,27,1.1692725365719525e-07,9.297570358057783e-08
llama32_3b,Q1_asym,0,down,0,1.1663783539006545e-07,1.085748024820532e-07
llama32_3b,Q1_asym,0,down,1,1.1680540978886711e-07,1.0138953143723484e-07
llama32_3b,Q1_asym,0,down,2,1.1670683619513511e-07,9.347138529847143e-08
llama32_3b,Q1_asym,0,down,3,1.1599258442629434e-07,9.20842069263017e-08
llama32_3b,Q1_asym,0,down,4,1.1728366899887988e-07,9.400583422802811e-08
llama32_3b,Q1_asym,0,down,5,1.1681034095545328e-07,9.265206557529382e-08
llama32_3b,Q1_asym,0,down,6,1.1612139161343293e-07,9.254635813249479e-08
llama32_3b,Q1_asym,0,down,7,1.1738048044662719e-07,9.214053164896541e-08
llama32_3b,Q1_asym,0,down,8,1.1673186151028858e-07,9.194400263368152e-08
llama32_3b,Q1_asym,0,down,9,1.1630023522002375e-07,9.193226446768676e-08
llama32_3b,Q1_asym,0,down,10,1.1652825548935652e-07,9.208675066929572e-08
llama32_3b,Q1_asym,0,down,11,1.1638807251301841e-07,9.192196159801824e-08
llama32_3b,Q1_asym,0,down,12,1.1683206224688547e-07,9.25326304468399e-08
llama32_3b,Q1_asym,0,down,13,1.1702225322096638e-07,9.276806878233401e-08
llama32_3b,Q1_asym,0,down,14,1.1675224698137754e-07,9.324742222815985e-08
llama32_3b,Q1_asym,0,down,15,1.1733523308521399e-07,9.484613627819272e-08
llama32_3b,Q1_asym,0,down,16,1.1643535202665589e-07,9.183014526570332e-08
llama32_3b,Q1_asym,0,down,17,1.1692212353864306e-07,9.604998041368162e-08
llama32_3b,Q1_asym,0,down,18,1.1637836649924793e-07,9.472704221025197e-08
llama32_3b,Q1_asym,0,down,19,1.166881347103299e-07,9.276244838929415e-08
llama32_3b,Q1_asym,0,down,20,1.1718689307826935e-07,9.298506853383515e-08
llama32_3b,Q1_asym,0,down,21,1.1712430136867624e-07,9.267480294283814e-08
llama32_3b,Q1_asym,0,down,22,1.1680167943950437e-07,9.337374251572328e-08
llama32_3b,Q1_asym,0,down,23,1.1673932931444142e-07,9.449274074313507e-08
llama32_3b,Q1_asym,0,down,24,1.1605909833178885e-07,9.393163225013268e-08
llama32_3b,Q1_asym,0,down,25,1.1630794460870675e-07,9.357111707686272e-08
llama32_3b,Q1_asym,0,down,26,1.1582984882352321e-07,9.301901826574976e-08
llama32_3b,Q1_asym,0,down,27,1.1600335625416847e-07,9.356077157463005e-08
llama32_3b,Q1_sym,0,qkv,0,1.1703088631520586e-07,9.563375158450071e-08
llama32_3b,Q1_sym,0,qkv,1,1.1584295123157062e-07,9.057485783614538e-08
llama32_3b,Q1_sym,0,qkv,2,1.1480938155727927e-07,9.291285607559985e-08
llama32_3b,Q1_sym,0,qkv,3,1.1720141657178829e-07,9.226773300952118e-08
llama32_3b,Q1_sym,0,qkv,4,1.171271080124825e-07,9.342109308363433e-08
llama32_3b,Q1_sym,0,qkv,5,1.1676407751792794e-07,9.231953157495809e-08
llama32_3b,Q1_sym,0,qkv,6,1.1633923691078962e-07,9.105888665317252e-08
llama32_3b,Q1_sym,0,qkv,7,1.1672744193447215e-07,9.40486870604218e-08
llama32_3b,Q1_sym,0,qkv,8,1.1701445856715509e-07,9.336057615882964e-08
llama32_3b,Q1_sym,0,qkv,9,1.1634034535745741e-07,9.627749619767201e-08
llama32_3b,Q1_sym,0,qkv,10,1.1587964365844527e-07,9.327310834805758e-08
llama32_3b,Q1_sym,0,qkv,11,1.1566679347652098e-07,9.437964365588414e-08
llama32_3b,Q1_sym,0,qkv,12,1.1466745064581119e-07,9.308512716188488e-08
llama32_3b,Q1_sym,0,qkv,13,1.1589381188059633e-07,9.680831425384895e-08
llama32_3b,Q1_sym,0,qkv,14,1.1482272554985684e-07,9.469362538538917e-08
llama32_3b,Q1_sym,0,qkv,15,1.161319218567769e-07,9.509744103297635e-08
llama32_3b,Q1_sym,0,qkv,16,1.1591653503728594e-07,9.651397192556033e-08
llama32_3b,Q1_sym,0,qkv,17,1.160877118877579e-07,9.381606957958866e-08
llama32_3b,Q1_sym,0,qkv,18,1.1642922004284628e-07,9.485108165563361e-08
llama32_3b,Q1_sym,0,qkv,19,1.1624806006693689e-07,9.797645361686591e-08
llama32_3b,Q1_sym,0,qkv,20,1.1639882302461046e-07,9.349903251631986e-08
llama32_3b,Q1_sym,0,qkv,21,1.162573752822027e-07,9.182004845342817e-08
llama32_3b,Q1_sym,0,qkv,22,1.1626886475823994e-07,9.394653233130157e-08
llama32_3b,Q1_sym,0,qkv,23,1.1543632183474983e-07,9.434466363700267e-08
llama32_3b,Q1_sym,0,qkv,24,1.1537927235849565e-07,9.266207001701332e-08
llama32_3b,Q1_sym,0,qkv,25,1.1647539821524333e-07,9.032905978756389e-08
llama32_3b,Q1_sym,0,qkv,26,1.172169987739835e-07,9.28597572169565e-08
llama32_3b,Q1_sym,0,qkv,27,1.1692725365719525e-07,9.297570358057783e-08
llama32_3b,Q1_sym,0,down,0,1.1663783539006545e-07,1.085748024820532e-07
llama32_3b,Q1_sym,0,down,1,1.1680540978886711e-07,1.0138953143723484e-07
llama32_3b,Q1_sym,0,down,2,1.1670683619513511e-07,9.347138529847143e-08
llama32_3b,Q1_sym,0,down,3,1.1599258442629434e-07,9.20842069263017e-08
llama32_3b,Q1_sym,0,down,4,1.1728366899887988e-07,9.400583422802811e-08
llama32_3b,Q1_sym,0,down,5,1.1681034095545328e-07,9.265206557529382e-08
llama32_3b,Q1_sym,0,down,6,1.1612139161343293e-07,9.254635813249479e-08
llama32_3b,Q1_sym,0,down,7,1.1738048044662719e-07,9.214053164896541e-08
llama32_3b,Q1_sym,0,down,8,1.1673186151028858e-07,9.194400263368152e-08
llama32_3b,Q1_sym,0,down,9,1.1630023522002375e-07,9.193226446768676e-08
llama32_3b,Q1_sym,0,down,10,1.1652825548935652e-07,9.208675066929572e-08
llama32_3b,Q1_sym,0,down,11,1.1638807251301841e-07,9.192196159801824e-08
llama32_3b,Q1_sym,0,down,12,1.1683206224688547e-07,9.25326304468399e-08
llama32_3b,Q1_sym,0,down,13,1.1702225322096638e-07,9.276806878233401e-08
llama32_3b,Q1_sym,0,down,14,1.1675224698137754e-07,9.324742222815985e-08
llama32_3b,Q1_sym,0,down,15,1.1733523308521399e-07,9.484613627819272e-08
llama32_3b,Q1_sym,0,down,16,1.1643535202665589e-07,9.183014526570332e-08
llama32_3b,Q1_sym,0,down,17,1.1692212353864306e-07,9.604998041368162e-08
llama32_3b,Q1_sym,0,down,18,1.1637836649924793e-07,9.472704221025197e-08
llama32_3b,Q1_sym,0,down,19,1.166881347103299e-07,9.276244838929415e-08
llama32_3b,Q1_sym,0,down,20,1.1718689307826935e-07,9.298506853383515e-08
llama32_3b,Q1_sym,0,down,21,1.1712430136867624e-07,9.267480294283814e-08
llama32_3b,Q1_sym,0,down,22,1.1680167943950437e-07,9.337374251572328e-08
llama32_3b,Q1_sym,0,down,23,1.1673932931444142e-07,9.449274074313507e-08
llama32_3b,Q1_sym,0,down,24,1.1605909833178885e-07,9.393163225013268e-08
llama32_3b,Q1_sym,0,down,25,1.1630794460870675e-07,9.357111707686272e-08
llama32_3b,Q1_sym,0,down,26,1.1582984882352321e-07,9.301901826574976e-08
llama32_3b,Q1_sym,0,down,27,1.1600335625416847e-07,9.356077157463005e-08
llama32_3b,M1_pq_asym,0,qkv,0,1.1703088631520586e-07,9.563375158450071e-08
llama32_3b,M1_pq_asym,0,qkv,1,1.1584295123157062e-07,9.057485783614538e-08
llama32_3b,M1_pq_asym,0,qkv,2,1.1480938155727927e-07,9.291285607559985e-08
llama32_3b,M1_pq_asym,0,qkv,3,1.1720141657178829e-07,9.226773300952118e-08
llama32_3b,M1_pq_asym,0,qkv,4,1.171271080124825e-07,9.342109308363433e-08
llama32_3b,M1_pq_asym,0,qkv,5,1.1676407751792794e-07,9.231953157495809e-08
llama32_3b,M1_pq_asym,0,qkv,6,1.1633923691078962e-07,9.105888665317252e-08
llama32_3b,M1_pq_asym,0,qkv,7,1.1672744193447215e-07,9.40486870604218e-08
llama32_3b,M1_pq_asym,0,qkv,8,1.1701445856715509e-07,9.336057615882964e-08
llama32_3b,M1_pq_asym,0,qkv,9,1.1634034535745741e-07,9.627749619767201e-08
llama32_3b,M1_pq_asym,0,qkv,10,1.1587964365844527e-07,9.327310834805758e-08
llama32_3b,M1_pq_asym,0,qkv,11,1.1566679347652098e-07,9.437964365588414e-08
